,reviews
67,"Terrible customer service. Placed a cancellation/refund request online on 1st December. Form says you do not need to do anything else to cancel your flight. Two weeks later I was still getting emails about the flight so I spent an hour and a half on the phone trying to speak to someone who told me it wasn't cancelled (I have a copy of the form I submitted). Now 2 and a half months later I have sent 3 more emails, sent countless messages on social media and I still haven't received any form of refund. Will never use them again."
68,"Would give a negative rating if possible.Absolute awful service in long haul business class flight, flew from Johannesburg to London Heathrow via Cairo and both flights had business class toilets closed, staff were rude and service was just about non existing. They cancelled my return flight and could not re book a flight at a time suitable to myself,  had to request a refund in December and still waiting for any response, have tried contacting again by email but no response. There are plenty of alternative airlines that I can use, so I won't ever recommend egyptair"
69,"An airline with very poor customer service that never fails to disappoint in both economy and business class over and over. What can I say about the ""available"" customer service starting from help with flight reservation changes? or check in service at the counter? or boarding and meeting with a crew whose costumes look like they serve in the military? or service on board the flight? or their unappetizing poorly made stomach-turning sandwiches they serve to substitute for meals for flights to Europe? (I advise to bring your own food when you fly on this Egypt air) not to mention their beverage service that provides juice boxes to customers on both economy and business as if they are kids? Very patronizing! And So much moreto say!!!"
70,1 star is just too muchno servicecant callno reply
71,No refund from 40 days. No response on phones or emails. I only booked with them because they are the only carriers have direct flights to Cairo. They have to be more keen to develop their service.
72,"My booking has been changed by Egyptair. Since this did not suit me, I wanted to change the second flight to a flight that was convenient for me. I tried to call the London office, was on hold the whole time and £30 was taken from my mobile account, although I never got through. There was no answer to my emails. This is the worst service ever!"
73,The canceled my flights and they only emailed me that the flight is canceled and contact the office. While I was in Siwa and no good access to the internet. I tried to email me to support and no answer. I contacted the egyptair using the 1717 number and the answering machine hung up after saying we have high volumes of calls. There was no way for me to contact them and I had to purchase a new ticket. When I was back they refused to answer the emails and basically my money and my vacation got wasted.
74,"Worst experience I've had in an airline. They lost my bag, don't answer e-mails or calls. Adding to this, the service from them at the Nairobi airport was a disaster. I would highly recommend not to ever travel in this airline. Food was terrible also, and staff were not friendly at all."
75,"I booked a flight from EU to South Africa. It was cancelled on the 27th of November due to the new variant announcement, I applied for a refund on the 2nd of December from their refund portal and I received the full refund on the 30th of December. I did have to email them to follow up on the 27th of December but I received the full refund shortly afterwards."
76,It was the most horrible flight yesterday no entertainment no movies to watch.  Plus the flight was delayed until 19:40 and left at 19:50 for take off we arrived at 8:31pm into terminal one at Sharm el Sheikh. I wasn’t very with the way people just kept on pushing in front of us to board the plane
77,"Very helpful & friendly staff staff crew. I had one missing document for my trip, they explained to me my problem very politely & said don’t worry , you will not miss your flight, thank goodness! Also told me what to say when I arrive to immigration office there ! Wow thanks guys"
78,"This is the worst airline you will ever encounter. Always facing delay , unprofessional staff and most of all very expensive . I believe this airline should shut down business as they offer the most horrible service. Unbelievable service in 21 century . Management should be changed and new way of management should be introduced since it is declining year over year without any attention to the system"
79,I received a respond on Facebook messenger
80,"Our flight MS 738 on October 24th, 2021 from Istanbul Airport was a night mare!!! ---- I emailed to ""WE CARE"" Egyptair, all I received after 6 weeks was my ""case number"".I wanted to think that Egyptair will TAKE CARE of my complaint soon.  I will post it after is resolved !"
81,They canceled our trips for purely commercial reason on short notice without providing explanation or alternatives plus they never answer the phones and refuse to provide refund for that and compensation
82,I booked a flight through Travelgenio - Cancellation request created - CA-104706 - My request has been created and will be handled by one of Travelgenio's agents - since Monday 6.01AMI received an email from ONLINEREFUND- EGYPTAIR to say kindly note your online refund requisition has been received and is being processed What is going on - Egypt Air all other airlines have refunded meI was supposed to fly out to Egypt on Monday with Ethiopian Airlines (had a boarding pass already) they have given me a full voucher for the value of the ticket.My flight with Egyptair is only booked for the 9th of December 2021 - and I requested to cancel my booking as all South Africans are banned to fly to Egypt - I paid for two passengers and canceled my booking due to the Egyptian Federation that canceled all South African citizens to travel to Egypt.Travelgenio I am not going to leave this matter here - I will take further steps and will also make sure on all websites that Travelgenio should not be used - If I cancel my flight online is shows zero refundthis is unacceptable and Egypt Air has sent an email to say my refund request has been received.  You have until Tuesday 7th December else taking this matter to consumers
83,"My name is Rita Malinga. I bought a return ticket for myself. I travelled with Egyptair on the 20/12/2021 from Heathrow to Johannesburg. Due to the OMICRON, i had to cut my trip short and come back on the 26th November 2021 on a Turkish Airlines flight after unsuccessfully trying to contact Travelgenio and Egypt air. Travelgeo said i should contact the airline straight of which they never provided me with a contact information. The number was notfunctional. This is a scam company interested in only making money for no service. I'm so disappointed that Egyptair and Travelgenio make it difficult for me get my refund, yet i opted for the extra £41 refund cushion. The other one blames the other. TraveIgenio told me to ask my refund from Egyptair and Egyptair says the same about Travelgenio. I will not recommend that anyone should use their services. I want my money back.Regards Rita Bongiwe Malinga 07384315346"
84,"I was standing outside the washroom and was the only guy in line . At that time air hostess guy came next to me and start yelling at me badly . I asked him that have I done anything wrong he responded back with saying if you want to use washroom than stand behind the line (the line was more closer to passenger side)  . I was so confused I never knew this rule before  . I apologies to him and was about to go to stand behind the line but, this kept on yelling and all of his other colleagues too start laughing at me . Felt really bad about this incident. Seems like those guys were trying to badly bully me . My flight was from Toronto To Cairo ( Ms 996)"
85,I believe the website is easy to understand and smooth. I experienced some problems before with errors but I figured out how to avoid them and it does not occur often.
86,I asked for a refund because Egyptair canceled the flight. I wait now for more then 1 1/2 year for an answer.  First the say I have to ask the agency. This agency gave up after a year. Now I try myself but they just don't answer properly.The flights are ok.
87,"Useless customer service number since no one answer the calls, and online check in is a waste of time as the airline ""unfortunately we don't have online checkin counters"". Then why the hell do you provide this as a service and ask travelers to waste their time sticking luggage codes?Anyway that's an Egyptian business so they also tend to ignore users reviews assuming that no one reads it"
88,I'm a world traveller...Yesterday on 5th November 2021 I travelled from Heathrow Airport to Cairo Airport on ms778 on chair 20 G Dr.Hassan Fouad Wahba... I was very happy for everything specially hospitality from well trained crew specifically the well trained professional Mai Abouda and other one his nick name the Pharaoh or Phara'on...Thanks alot Egyptair for let me happy and satisfied and enjoy 5 hours of travelling...thanks alot Mai and Pharaoh or Phara'on...
89,"Please please avoid this airlines no matter what. Even if you’re desperate. My flight was in the early morning from Addis Ababa to Copenhagen. I went to the airport 2hrs prior to my flight as the airport is not busy at all. I bought an extra lagged through the travel agency I booked my ticket, however when I was trying to check in, I was told they couldn’t find the payment for the extra lagged I added in their system, though I showed them the confirmation email I got from the travel agency. But still I was asked to pay for the extra lagged, otherwise I won’t check in. So I was like okay it’s fine, I will ask for a refund when I go back to Copenhagen. So the total amount was almost 300 dollars, and I took off my credit card from my pocket and I was told they don’t accept credit card, but only cash. I was like how am I supposed to have that amount of money in cash  when I’m leaving the country I had been staying for 3 months. There were no ATM around. So I couldn’t able to check in and missed my flight, tho I had money in my credit card.  The Egyptian guy at the check in counter was very rude. He was like “ no, you’re not getting on the plan if you don’t have cash, so go home” that’s what he said.That made me book another flight with Ethiopian airlines and I still payed for the extra lagge by credit card . I missed my flight because this well known Egypt air does not have A payment terminal in Bole airport ( one of the most well known airports in Africa) Even normal restaurants in Addis Ababa have A payment terminal. I was so disappointed, but I also learned my lesson on the hard way that to never ever fly with Egypt Air."
90,"Disgusting air line ,I never ever seen in my life, very rude thief people  like Egypt , hireable Costmer service , very very very bad 😡😡😡😡"
91,"I love Egypt, and I straight up Never want to come back here because of EgyptAir in Cairo. They are horrible. They treat you like 2nd class citizens, not a paying customer. After arriving to my 9:30 flight at 8:40, they just closed checkin. The manager, Karim abd el something, got rude and pissy. Another Omar told me to sit down. I told them 10 times my Arabic is bad, and basically they told me to screw off, you're not getting on this flight. After asking Deputy Manager Mohamad Hussain about the rules, he just kicks me out of the office and asks me to go somewhere else. and I noticed each and every officer started mistreating me and giving me looks because I look Egyptian. I cannot believe how they treat people here."
92,"one of the worst airlines in the world, you can not even talk to anyone"
93,"Bad bad bad I’m a resident of the Uae, I came home(Ghana) for vacation, after the vacation was due, I lost my passport on my way to the Accra . I made a police report and affidavits and a new passport was issued to me , I went to the Uae embassy to make enquiries as to how best I can fly using my visa which is having the lost passport numbers in it . They gave me the best way to deal with this situation..I was asked to make an NOC (No objection Certificate), Police Extract, proof of residence ie an ID, old passport copy and I will be good to fly. All these details was made ready and I booked a transit flight using EgyptAir, On the 4th of October my flight day, the flight manager asked for all the mentioned details if I have them ready, and yes I had them all, I showed it all to them, he hold a name like Ahmed, he went away from the counter and later called the clearance team and said they cannot allow me to board the flight. No reason was attached, I left the airport stranded. I don’t recommend anyone to try this flight company, they are a complete scam, and hey they have a bait of getting people to choose them, that’s Their pricing it appears moderate but if you are a person with such reasons as mine don’t you ever choose EgyptAir. You will lose your money!"
94,"Terrible airlines, with the worst and most unreachable customer service. They canceled my flight not once but 3 times do to COVID, after giving the passengers a option to opt out of the flight and get a full refund, they are still processing the refund after 6 months. When you contact the customer support office in the Netherlands, no one ever answers the phone, like it’s just there for deco. All customer support agents are extremely rude, and act like you’re asking them for a freaking hand out and not your own money back! I stopped using EGYPTAIR and I will never recommend this airlines to anyone! Ever! Also booking a flight with The EGYPTAIR website doesn’t work and gives payment errors, it only works if you go book the flight with a third party, but if you do this they are even less helpfull if even possible. It’s hopeless!"
95,"Egyptair - a financial and payment system that does not work! I bought a ticket and tried to pay by credit card. This was not possible, as I got many errors. Then I paid by ""instant"" transfer. Since I got no confirmation after my booking, I contacted Egyptair and sent them a payment confirmation from my bank that proves that the amount was already debited (not just hold). Egyptair told me that I will get the ticket as soon as they receive the money. 3 days later, they informed me that I have to pay an additional fee, because the class booked is not available anymore. My friend bought the same ticket and paid later, her ticket was hold, so she got the same ticket she booked. Fazit:Egyptair financial and payment system does not function properly:Paying by credit card is associated with errors. They call a payment method ""instant"" transfer that doesn't not work instantly. For such system, the customer has to pay extra fees after booking and has stressful struggles taking to the call centre and sending emails to solve such problems."
96,"Impolite, rude and racist staff. Never go back to Egypt."
97,RUN!No way to communicate with them except through Facebook messenger. I even had to connect with them through Facebook to cancel my flight and get my refund (canceled within 24hrs). It’s been 3 months and they only gave me a partial refund with no explanation why they didn’t give me my full refund!
98,"Absolutely worst airline I have ever dealt with. My fiancée and I had a trip planned for April 2020. Obviously because of covid our entire trip was cancelled. All our hotels, tours, and airlines have us either a full or partial refund…. Except Egyptair. We were given a voucher with a one year expiry. We were informed that if the voucher was not used by the one year expiration that we would receive a refund. It has been 18 months since our flight was cancelled. The voucher has expired. I have sent multiple emails in regards to my refund over the past 4 months and Eygptair refuses to respond. This was the first and FOR SURE the last time I will ever book with this heartless selfish airline!!! I would never recommend them to a friend."
99,Just horrible..changing a flight was charge 450 dollars. The ticket itself had cost less
100,The experience from hell!By far the worse airline I have ever flown with. I travelled  business class and was no different in service from economy. Avoid at all costs.I have not one positive thing to say about Egyptair.
101,"Wish I could give zero stars. I fly pretty often, and Egyptair is by far the worst airline. We had a 10:10 flight out of Cairo to Frankfurt. We received emails to check in digitally that warned that if we were not at the gate 25 minutes prior to departure time, we wouldn’t be allowed on the plane. Knowing this, we got to the airport a couple of hours early. When we got to the Egyptair counter to get our printed tickets at 9:10, the man said that we were too late, and the flight was closed. He then told us to talk to another guy at a different desk. When we got to that desk, the man did not acknowledge us at all. My husband began to explain the situation, and the man waved us away (picture a shooing motion). When he finally agreed to help us, he said that it was policy, we couldn’t board the flight, and we would need to buy a new ticket. He claimed that it was the system, and it couldn’t print the tickets because we were “late.” A third man eventually helped us and was able to print off the tickets, so it appears that the second employee just lied. Thinking that we were somehow late for the flight, we ran through the airport to the gate to find out that they hadn’t even started boarding. The employees are not helpful at all, and quite simply put, lack common curtesy. For a separate flight, Egyptair didn’t email us the link to check in digitally until two days after the flight...that caused a headache to get in the doors of the Luxor International Airport. On a different flight, EVERY Egyptair flight was delayed without any information. No personnel were in the Alexandria airport to ask questions. Needless to say, we missed our connecting flight due to this."
102,"They have zero customer support, trying to reach them and everytime i get to reach them the poor guy says Hi and he hangs up to get back to playing or browsing or whatever he does"
103,"We booked tickets as part of a group to visit Egypt for a diving holiday. We were notified a week before our flight that the dates of our flights were changed. This was done without consulting us and we had to cancel our tickets and re-book with a different operator. We requested refunds for our tickets and now almost 4 months on we are being ignored. No phones are being answered and the worst part is we were told that they were just doing month end and our payments were part of the batch that needed to run after their month end was done. This was 2 months ago. I will not recommend Egypt Air to anyone in our diving community, which is sad because that is where a big chunk op Egypt's income comes from, diving holidays."
104,Egyptair is ignoring my requests on cancelled flight refunds. They have cancelled both my reservations and now refuse to issue out an amount paid for the flights. Impossible to reach out to them. Customer support is non existent. However looking at the rating here it doesn't look like they care much about their service level
105,"I have used a lot of the airlines for travel and to be honest, Egyptair is the worst of them all! The check in staff at Dubai airport has a real bad attitude, the cabin crew on the aircraft is even worse and then my internal flight was put on standby for no reason. If you have a choice, fly any other airline except these jokers."
106,"Where should I start? Oh boy. The ticket counter was a mess. Business class economy all mixed. I was asked 4 times from ticketing to plane for PCR test. Once was enough! Then I get to the gate after waiting for 2 hours to board, the person taking the ticket said I was not flying business. Which in fact I was. After a long tiring dispute over my seating class, turns out, I was correct. No apology. Just get on plane. Get to the plane, the lady at door doesn’t even greet me- stares blindly at me and demands my ticket. Ticket! She says. Ok. I get to my seat, the flight attendant is not even helping as she sees me struggling with my things and says nothing. Doesn’t say welcome aboard or hello. Just looks at me. Then I sit down and open my water, remove my stupid useless mask to drink, she immediately rushed over to tell me to put my mask on. I’m like what?? You see me wanting to drink and take my medicine and you demand I put it on!! As if we aren’t going to remove them to eat later! Super rude,  brainwashed and inconsiderate. Then she walks by several times ignoring me. Finally landing in Cairo, nothing from any flight attendants to welcome us there, nothing. Just barking orders at guests and being really rude. Steer clear of this 2 star airline"
107,"EGYPTAIR is a joke, DO NOT WASTE YOUR TIME OR MONEY WITH THEM!!!!My husband and I booked a flight to Egypt from New York in Feb 2020 for Dec 2020. EGYPTAIR changed our returning flights and we couldn’t accommodate the date change and had to cancel on Oct 15,2020. We are still waiting on our refund of $1800. We can’t get through to anyone for answers. I’ve called the NY office many times only to get disconnected or it’s a dead end with CSR. Emails just get forwarded to someone else but nothing happens. So frustrated and will not consider using EGYPTAIR again!!"
108,The worst!!!! Over 6 months since I cancelled and was promised a full refund of $1987 within 30 business days…. Still nothing. Every time I email or call I get absolutely no help whatsoever. Never again booking that airline.
109,"I had the worst experience with egyptair who have incompetent staff. After they reviewed  our PCR twice in Washington DC and no issues. We get on the plane to cairo, 12 hours flight and in cairo they found an issue with our PCR test and we were held at the airport in cairo for 9 hours and Egyptair refused to take any responsibility or help us get released when they approved our PCR tests. Egyptair knew we are sitting in a small terminal with no food for 9 hours and when we said we’re hungry they said they are preparing food for us. Half hour before released, because of friends support who reached out to connections to release us, and after I told the head of EgyptAir I’m going to sue them,  when EgyptAir brought us stupid dry sandwiches that I wouldn’t pay for to eat."
110,Egypt Air cancelled my son's booking due to covid in April last year. We requested a refund but we are still waiting. The Egypt Air office in Johannesburg has not being helpful at all!
111,Since last year April I've been waiting for the refund for the flight that was canceled due to covid. Until now nothing has changed. Please do not use the service of those airlines.
112,Pooe poor customer service
113,Dealing with Egypt Air is really a matter of wasting time and money. they are not professional and not transparent. Imagine that they canceled one of my flight without notice while  the flight is still available in their site for new booker just to take money for nothing.
114,"I took a flight earlier this year. There were three of us flying and all our luggaes came ten days after we arrived. We were told at the airport that we could claim vouchers for to buy stuff we needed due to the delay in our luggage arrival. We were to call and have that sorted out. We called severally with no response. We emailed severely and we were pushed around in circles. We were told to fill out a form which we did and never got feedback on that for months. We kept emailing and have been ignored. We had to spend over $500 to buy stuff when we arrived and because we did not have our suitcases due to no fault of ours and the airline does not want to take responsibility. We also had to postpone another trip we had to take because we had to wait for our suitcase, this also cost us money. I am very disappointed by this. I understand that unforeseen events could occur to make the luggages delay but i believe we should get some kind of reimboursement for this. Please be thoughtful of your customers."
115,"It's a difficult time for all airlines because of COVID and Egyptair is no exception. My flight was cancelled back in March 2020 and I have only just received the full refund. They could improve the information on their website, but throughout the period of waiting for my refund they always promptly and courteously responded to emails. Perhaps not everyone would appreciate the long wait, but I would rather they took time to process my refund than if the company folded and I got nothing. I would have no problem booking with Egyptair again."
116,"Another story here of a flight being cancelled and not refunded. They have quite simply stolen the money. If possible, you should avoid this airline. I wasn't even informed by the airline of the cancellation, but had to find out as I went to checkin online.As a national carrier, they are a disgrace."
117,a very decent company that provides everything for the customer never been to a such plane compared to the ticket price
118,"Horrible customer service experience. I booked a flight and I was ripped off over fees after cancellation because of issues with COVID restrictions, such a horrible customer services, cheap mentality. Definitely when I have to go to Egypt next time, Egypt Air will not be in my radar, doesn’t matter how cheaper they are compared to other airlines. Please guys avoid Egypt Air, fly reputable companies, even if you have to pay a premium, it will pay off in the future."
119,"Like in the other reviews, unfortunately I can confirm the very experience on EgyptAir. I travel in December from Uganda to Germany. EgyptAir manage to arrive late and added extra delays on the departure time. Arriving in Germany my luggage was gone.I had to keep on complaining and calling EgyptAir to deliver my luggage, when after one week my luggage finally arrived I found out EgyptAir staff “shopped” in my luggage’s and stole some of the times I was planning to use for Christmas. Reading the other reviews this seems to be a habit from EgyptAir staff. BE AWARE!!I claimed compensation, after EgyptAir try to put me off with peanuts and filling an official complaint with the European Airline consumer board EgyptAir responded after three long daily complaining months.  It is because the European Airline consumer board followed my case EgyptAir compensated me. THANK YOU EU.When it came to pay the damage, they EgyptAir staff again tried to play games with me. They kept on telling the money was not ready, than the money was not there, etc etc. After threating to pass this none willing payment of EgyptAir to the EU they suddenly could find the funds!I have to say the German EgyptAir staff are very understanding but helpless."
120,"I was supposed to fly to Denmark through Egypt! To be fully transperant, my e-ticket number is 0773518665356 Booking Reference: WCGEKFFlight: MS911. I was denied to check-in due and eventually didn't fly with Egyptair. The reason is that your staff says that my PCR  COVID 19 test was old! and despite my attempt to ask them if it's okay to take the Antigen test at the Dubai airport, the staff kept saying no. My PCR test was received on 19/3 03:50 and the check-in for the flight was 5:00 20/3!! Dubai time, the staff said that once I get to Denmark then the test would be too old. According to the Danish COVID19 requirement is that the test should be 24 hours old upon check-in, not upon arriving!!???  I have been treated very badly without any chance to speak and show my documents I was extremely ignored. I have the same day 20/3 booked a flight to Denmark from emirates (ticket number 176 2338808989) who accepted my PCR test (the same one denied by Egyptair) and as well they required me to take Antigen test from the airport which only takes 15 minutes (these guidelines I didn't receive from Egyptair). I require a full refund for my ticket from Egyptair. I'm very disappointed with the treatment I received from Mr. Essam (manager) and not only me, but he also treated everyone else badly and even his own staff!! Will never fly with Egyptair after this treatment and experience."
121,"No refund in over 6 months!I had a flight from Johannesburg to Cairo cancelled because of covid and was told to request a refund via the online refund form, I did this over 6 months ago! I have tried to call them and all I get is they are still waiting to process refunds from other customers and offered me a travel voucher... To be honest its pretty ridiculous I don't want a travel voucher I want my money back! I will never use this company again and I will make sure to inform any would be traveller to not use them either."
122,Very bad products. Customer services are not helpful and they can’t answer the basic questions. The flexibility to cancel tickets is very limited even if you have just made them and customer service rep would sometime quote a higher price. I will never use them again
123,"I scheduled a flight round trip flight from    Casablanca Morocco to Cairo Egypt on April 25    2020.  I paid the full amount of 499.73 with my  debit  card to Egyptair Ny (212)-938-3519 for one ticket. The next month of June 4th I  received  a cancellation notice from egyptair via email.  That same day I went to the ONLINEREFUND-  EGYPTAIR.COM and request a refund. I received a confirmation email from Egyptair confirming my request. On July 11th 2020 I received an email from  callcenteregyptair.com requesting my tkt number. I resend the tkt number. I    never received a response. on July 9th I file a    complaint with the better business bureau claim. I received no resolution and when tried to followed up The BBB had closed the case. I r@eopened a new tkt with the BBB. On Aug 31,2020 later received an email from Maria Papadakis Egyptair HR. informing me my request for a refund was being sent to accounting for processing. On Sept.21st 2020 I received an email from Lynn R. Luehrs,CTC. Egyptair requesting my tkt number again. I call her number 212/938-3519 and was able to speak to her. This is the first time I was able to speak to a person. I was told that Egyptair did not have my tkt number and when I provided it to her    she would send my request to the chief accountant. I gave her the information she requested. On Nov 4th 2020 I called back to check the status and was told she sent the request like she promised but he did not authorize a refund. She also said, ""I can't force him to give you a refund"". It is clear to me they are trying to keep my money. Never use Egypt Air. They have many agents within our system of governance who run blocker. You will no get a refund."
124,Very friendly and accommodating staff which made the flight much better giving the Covid restrictions.
125,2 months since they cancelled the flight and still not returned my money. They will either not return or hold my money for long time for non of my fault
126,"Amazing Airlines and very helpful customer serviceI had a flight planned to Cairo on the 24th of January 2021.  As per regulations I did the fit to fly test but unfortunately it came back positive ( less than 24 hrs before the flight ). I contacted the call centre who advised to send an email for which I got a very timely response. I followed the steps and I was given an open ticket ( for a year ), so I can book anytime after I test negative. I will only pay the ticket difference. I won't pay the No show fees. EGYPT AIR will be my first choiceTHANKS FOR BEING SO UNDERSTANDING and ACCOMODATING THROUGH THIS DIFFICULT TIME"
127,"Didn't refund the money when I had to cancel my flights due to UK government's travel ban, Tier 4 lockdown. When the UK government announced travel bank in Dec 2020, I had to cancel my flight. Egyptair refused to provide full refund."
128,"I wish there was an option to give them negative stars! I was on flight MS751 from Cairo to Budapest on 15 January, after my arrival to Budapest, I discovered 2 of my luggage were not there, I had to follow up with them for 9 days till I got my luggage! Only for things to be stolen from them! All my child toys and they were expensive! A gold necklace, even toiletries, shampoo, shower gel.. Etc I'm really at loss of words and just want people to think really carefully before flying with this airline since they got no integrity."
129,"What a terrible, awful airline service!This company stole my money. And the stewards in the plane stole myMothers insulin and wouldn’t return it.I went online to book extra baggage for my mothers travel booking and it wouldn’t work online. I tried calling the office number and they said go online and do it (its also more expensive over phone).The payment system took my money three times without adding extra baggage. I contacted the support email and they finally fixed it for me by giving the extra baggage but DID NOT REFUND MY TWO FALSE PAYMENTS!!Ive spent months chasing them with emails to refund my payments that the online system stole but no actionThey claim I am a valued customer but clearly that is a lie.I’ve now complained via my credit card company."
130,"My mother bought extra baggage online, at the cost of $200 a bag prior to her flight. She purchased 4 extra bags. When she arrived to the airport the day of her departure, the teller said there was no record of extra baggage purchase, so they charged her again for the four bags, at $280 a bag. When she arrived back in Canada six weeks later, she received her credit card statement and noticed that the airline charged her 3x for the bags that they said ""was never purchased"". Therefore, my mother was charged an extra $1600?!?!? My mother tried calling the airline and customer service multiple times, to no response back. No one would pick up the phone. This is absolutely ridiculous. This is theft. This is deceit. She's been trying to get her money back ever since she returned back to Canada in December, and she still hasn't received any help from the airline. Do not trust this company."
131,No refund at all for refundable ticket?they are playing agent-airline-agent-airline and then said YOU are responsible for no refund due to late cancellation whereas i contacted agent-airline 1 week before original flight.Beware!! they are worst
132,"Pathetic customer service.  Cancelled trip for health reasons just prior to Canadian government insisting on a travel ban in March 2020.  Not only will EgyptAir not refund my tickets, they even charged an extra $56 in order to process the non-existing refund!  They were so quick to take the extra $56 from my credit card, but now it's just ""crickets"" when I or my travel agent call to inquire.  If you want to be treated failed, DO NOT FLY EGYPTAIR !"
133,Worset ever what a shame .. trying to call for days no help no customer service to answer no standards.. u need new management immediately
134,"The customer service for the UK office is the worst, they don't pick calls, the voicemail is full and no response to the email and messages. I have been calling for days no one is picking. Really disappointed."
135,This company seriously changes my flight schedule. So they expect me to wait 26 hours on the airport instead of 2 hours. This is so absurd!!!!!!! Rather cancel it all but didn't took the cancellation insurance. So stuck on an airport for that period of time. Never ever Egypt Air again in my whole lifetime. I AM SO PISSED YOU DON'T UNDERSTAND
136,The worst experience by every mile. Forced to stay one day at the airport in Cairo enroute Abuja from Washington without prior notice of one day layover. The ground experience was terrible from unfriendly staff and the supposed hotel is ramshackle! Tried previous refund too for several months but no response yet! Look for another airline for your good
137,"ABSOLUTE DISGRACE OF A AIRLINE. Was told I must pay 20 egy pounds to use the trolley for my luggage. Was charged 1,970 egy pounds for a extra bag. Was harassed by a janitor for tips when he insisted to walk me to my gate sign when I did not ask him for help. He demanded I pay him and was angry with the amount I gave him. Security confiscated my 50ml hand sanitizer and told me it was because they will provide me with hand sanitizer on the plane. About four men at security then began touching all of my belongings and picking up stuff they did not have any business of doing. To the point where I literally grabbed my stuff back out of their hands to pack back up. Also stole a 50ml spray out of my bag. Upon boarding the flight there was chewing up stuck to the side of the chair in front of me and bits of random papers stuffed in to my chair seat. I am absolutely horrified by this airline will not ever use again. PLEASE STAY AWAY!!"
138,Worset ever what a shame .. trying to call for days no help no customer service to answer no standards.. u need new management immediately
139,Worst airline ever! Dirty mismanaged planes and worse is when you ask a refund for the loss they cause. They will lead you in a maze and leave you to dry out. Lost my baggage and got it a week later and no apologies nor compensation for what I purchased for the week I had no luggage. Do not even think about booking Egyptair.
140,"Business class fully refundable ticket booked from Cairo to Casablanca in July 2019 for travel in April 2020 cancelled because of Covid. Refund confirmation received immediately on 16th March. Despite numerous emails and various contradictory responses no one at ""online refund"" will respond. Absolutely the worst service ever seen - phone calls and emails not now being answered. Appalling - will never fly this airline now!"
141,"16 December 2020 update.  The refunds eventually arrived, in full, so I have added a couple of stars.They are still short of stars because of #:1 Poor to non-existent communication,2 The long wait for the refunds.Original review:  They cancelled 2 bookings because of the Coronavirus outbreak.  Their website said that the refunds would be made 35 working days after the resumption of flights, which was on 1 July 2020.1 July 2020 plus 35 working days = 19 August 2020No refunds received."
142,"I had my flight from Cairo to Heathrow cancelled by Egyptair in March. 6 months later I'm  still waiting for them to refund me.They hide behind any excuse. Cv19, I didn't book direct, I didn't book on their website, etc etcAny reason they can think of to avoid their legal responsibility. With a heavy heart its off to court using the fasttrack process. Why do they make life SO difficult? Just pay what you owe."
143,"I've requested a refund for my cancelled flight (fully refundable) booked directly with Egyptair.com for 2 months and got nothing. No one answers the phone in the US, the WDC office has a number that's not connected to a service. I've sent e-mails to every e-mail I could find on their website, even contacted them via facebook. Their Egypt office forwarded my message to their refund office and got nothing other than lipservice. The worst Airline ever to book with. The first time and certainly the last time."
144,"Terrible experience !!For more than 5 months I am trying to get a voucher of my flight or a refund of the same to book with the new dates.The flight was booked with myholidays.com and they both play with me !!I always get the same answer ""we are working on it"".I WILL NOT STOP UNTIL HAVING A RESPONSE BACK, AND IF I HAVE TO DENUNCE YOU, I WILL DO !!This is desperating !!NEVER MORE AGAIN !!"
145,The worst customer service...i have booked EgyptAir return flights from Sharjah to Egypt through Rehlat and the flights got cancelled due to Covid 19...i have been following up since last 6 months and my request is being dodged and delayed giving reasons..it is my hard earned money and I have full rights to get my money back but Egyptair and Rehlat is delaying giving false reasons
146,"Name: Mohsen AbdelmalakBooking reservation #: SQQWFJFlight from Sanfrancisco , USA to Cairo,  Egypt On 09/05/2020My  ConnectIon  flights is JetBlue airways B6016 From sfo airport to JFK and  Egyptair MS 986 From JFK to Cairo, egypt.I have never been frustrated with an airline like this before, my flight from SFO to John F. Kennedy was scheduled to arrive 15:30 where I take my connection flight to Cairo, Egypt at 18:30. The Egypt air airlines canceled my first flight and re-scheduled  without even notifying me or checking if it will be suitable with my connection flight. They changed the first flight from SFO to John Kennedy to arrive at 17:46!!!!  How can I take the change flight in less than 45 min.? What if the first flight was late and I missed my second flight, it will be stressful for a 65 yrs old man like me to run in large John Kennedy airport between different terminals in 45 min.? I called the airlines to change the flight where I can get a reasonable layover so I don’t miss my second flight and the airline’s agents dont respond to email or telephone. Omg what can I see, I spent days trying to call 1000 times with no response and when they finally responded, they were so rude and decided for me that this layover is enough and I can’t change my flight, how can this be more humiliating! They changed my schedule and didn’t inform me and when I tried to reschedule they wanted to charge me extra, given the rudeness and the bad customer service. They hanged the phone when I tried to ask them to change, this happened with two different representatives, and would not pick the phone again when they see my phone number. I don’t know what to do because of a schedule change with no reasonable accommodation. I am so stressed and I booked another return flight with another airlines. I will sue the egyptair airlines for the inconvenience and stress they caused to an old man like me. I have never experienced anything like this with other airlines. If egyptair cannot accommodate and respect their costumers then they should not sell tickets to costumers."
147,"Very very bad experience, previously I lost one bag never found and never get a refund. I made a second mistake and book another flight with them, they try to prevent my flight to charge me more money so sorry I will not payback, right now I'm on hold for customer service more than 30 minutes."
